id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
10792477,Home in Goode Beach · ★4.87 · 3 bedrooms · 4 beds · 1.5 baths,55851720,Jess,ALBANY,-35.08512,117.93599,Entire home,Entire home/apt,6,3.0,4.0,3,295,63,4.87,0.74
11234321,Home in Floreat · ★4.94 · 1 bedroom · 1 bed · 1 private bath,20093653,Christine,CAMBRIDGE,-31.94229,115.79915,Private room in home,Private room,2,,1.0,2,160,159,4.94,1.79
10797549,Guesthouse in Jindalee · ★4.80 · 1 bedroom · 1 bed · 1 bath,55883654,Natalie,WANNEROO,-31.65339,115.69077,Entire guesthouse,Entire home/apt,2,1.0,1.0,3,139,114,4.8,1.98
11852746,Home in Esperance · ★4.96 · 3 bedrooms · 3 beds · 1 bath,63174631,Kerry,ESPERANCE,-33.86336,121.88968,Entire home,Entire home/apt,6,3.0,3.0,3,326,119,4.96,1.35
11852900,Guesthouse in Mindarie · ★4.75 · 1 bedroom · 1 bed · 1 private bath,63175688,Clare,WANNEROO,-31.68057,115.70494,Private room in guesthouse,Private room,2,1.0,1.0,3,260,61,4.75,0.76
11871897,Rental unit in Middleton Beach · ★4.60 · 2 bedrooms · 2 beds · 1.5 baths,63294383,Gill,ALBANY,-35.02468,117.91497,Entire rental unit,Entire home/apt,4,2.0,2.0,2,50,143,4.6,1.63
11244990,Guesthouse in Halls Head · ★4.87 · 1 bedroom · 1 bed · 1 bath,47817730,Dudley,MANDURAH,-32.52359,115.70791,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,206,102,4.87,1.38
11874381,Home in Mount Claremont · 3 bedrooms · 4 beds · 2 baths,35932816,Mark,CAMBRIDGE,-31.95943,115.77232,Entire home,Entire home/apt,6,3.0,4.0,7,0,1,5.0,0.17
11874440,Bed and breakfast in Narrogin · ★4.66 · 1 bedroom · 2 beds · Shared half-bath,9863042,Lizette,NARROGIN,-32.94118,117.18746,Private room in bed and breakfast,Private room,2,,2.0,1,360,44,4.66,0.51
10810193,Home in Bouvard · ★4.90 · 4 bedrooms · 4 beds · 2 baths,55964780,Tina & Steve,MANDURAH,-32.66827,115.6527,Entire home,Entire home/apt,7,4.0,4.0,3,106,84,4.9,0.95
11245211,Townhouse in Highgate · ★4.85 · 2 bedrooms · 2 beds · 1 bath,49322012,Allan,VINCENT,-31.94061,115.87129,Entire townhouse,Entire home/apt,4,2.0,2.0,2,264,535,4.85,6.17
10811569,Bungalow in Prevelly · ★4.86 · 3 bedrooms · 5 beds · 2 baths,55975024,Dimmity,AUGUSTA-MARGARET RIVER,-33.9806,114.99363,Entire bungalow,Entire home/apt,7,3.0,5.0,2,139,109,4.86,1.25
11896294,Rental unit in Geraldton · ★4.83 · 2 bedrooms · 4 beds · 1 bath,42973882,Debra,GREATER GERALDTON,-28.77725,114.6079,Entire rental unit,Entire home/apt,6,2.0,4.0,1,274,775,4.83,8.78
11910841,Farm stay in Hill River · ★4.86 · 2 bedrooms · 5 beds · 1 bath,63544076,Ken,DANDARAGAN,-30.31418,115.20262,Farm stay,Entire home/apt,7,2.0,5.0,1,9,472,4.86,5.37
11248645,Rental unit in Esperance · ★4.86 · 1 bedroom · 1 bed · 1 bath,58684707,Elisa,ESPERANCE,-33.86407,121.8924,Entire rental unit,Entire home/apt,2,1.0,1.0,2,230,289,4.86,3.28
11912489,Home in Dawesville · ★4.85 · 4 bedrooms · 10 beds · 2 baths,17624087,Caroline,MANDURAH,-32.63281,115.6457,Entire home,Entire home/apt,6,4.0,10.0,2,350,55,4.85,1.01
10813836,Home in West Busselton · ★4.69 · 3 bedrooms · 3 beds · 1 bath,55990412,Courtney,BUSSELTON,-33.65167,115.34045,Entire home,Entire home/apt,6,3.0,3.0,2,273,657,4.69,7.39
12132831,Rental unit in Subiaco · ★4.0 · 1 bedroom · 1 bed · 1 bath,33703497,Annabelle,SUBIACO,-31.94609,115.83098,Entire rental unit,Entire home/apt,2,1.0,1.0,7,261,6,4.0,0.07
12136891,Condo in East Perth · ★4.83 · 1 bedroom · 2 beds · 1 bath,533111,Euling,PERTH,-31.9517,115.87355,Entire condo,Entire home/apt,3,1.0,2.0,4,36,173,4.83,2.01
12138053,Home in Carnarvon · ★4.93 · 4 bedrooms · 5 beds · 3.5 baths,65159854,Michelle,CARNARVON,-24.88215446472168,113.65026092529295,Entire home,Entire home/apt,8,4.0,5.0,3,262,46,4.93,0.53
11913745,Bed and breakfast in Geraldton · ★4.85 · 2 bedrooms · 2 beds · 1 bath,63566629,Leon,GREATER GERALDTON,-28.83268,114.63745,Private room in bed and breakfast,Private room,2,,2.0,1,234,15,4.85,0.17
11257928,Serviced apartment in Cottesloe · ★4.90 · 2 bedrooms · 3 beds · 1.5 baths,58753331,Lesley,COTTESLOE,-31.9834,115.75383,Entire serviced apartment,Entire home/apt,4,2.0,3.0,5,189,59,4.9,0.81
11929449,Guesthouse in Busselton · ★4.97 · Studio · 2 beds · 1 bath,11032745,Carolyn,BUSSELTON,-33.64899,115.34162,Entire guesthouse,Entire home/apt,3,,2.0,1,168,683,4.97,7.74
11931785,Home in Yallingup · ★4.98 · 3 bedrooms · 4 beds · 2 baths,47354679,Brenda,BUSSELTON,-33.67865,115.05527,Entire home,Entire home/apt,6,3.0,4.0,3,289,98,4.98,1.25
12143922,Cabin in Margaret River · ★4.95 · 1 bedroom · 2 beds · 1 bath,65194819,Tanya,AUGUSTA-MARGARET RIVER,-33.94266,115.02686,Entire cabin,Entire home/apt,4,1.0,2.0,2,151,196,4.95,2.23
12165198,Cottage in Albany · ★4.85 · 3 bedrooms · 5 beds · 1 bath,45899379,Caroline,ALBANY,-35.0212,117.91386,Entire cottage,Entire home/apt,6,3.0,5.0,2,100,60,4.85,0.69
12176207,Home in Scarborough · ★4.91 · 2 bedrooms · 3 beds · 1 bath,65421607,Tracey,STIRLING,-31.89644,115.76251,Entire home,Entire home/apt,4,2.0,3.0,7,74,100,4.91,1.14
12180382,Home in Dunsborough · ★4.80 · 5 bedrooms · 7 beds · 4 baths,65449766,Stephanie,BUSSELTON,-33.59754,115.10352,Entire home,Entire home/apt,10,5.0,7.0,4,316,43,4.8,0.49
12192993,Home in Gracetown · ★5.0 · 3 bedrooms · 4 beds · 1 bath,65544584,Julie,AUGUSTA-MARGARET RIVER,-33.86618,114.98794,Entire home,Entire home/apt,6,3.0,4.0,5,180,5,5.0,0.17
12198366,Home in Augusta · ★4.80 · 3 bedrooms · 4 beds · 1 bath,65581155,De-Anne,AUGUSTA-MARGARET RIVER,-34.31514,115.16211,Entire home,Entire home/apt,7,3.0,4.0,2,298,66,4.8,0.75
12211890,Bed and breakfast in Northcliffe · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,23755126,Pippa,MANJIMUP,-34.64453,116.12014,Private room in bed and breakfast,Private room,2,,1.0,1,357,84,4.8,0.98
11932083,Home in Margaret River · ★4.93 · 3 bedrooms · 4 beds · 1 bath,63692166,Nicole,AUGUSTA-MARGARET RIVER,-33.94983,115.05924,Entire home,Entire home/apt,6,3.0,4.0,2,256,95,4.93,1.12
11952632,Farm stay in West Pinjarra · ★5.0 · 3 bedrooms · 4 beds · 1 bath,26701827,Karen,MURRAY,-32.71349,115.79009,Farm stay,Entire home/apt,8,3.0,4.0,2,176,36,5.0,0.44
11958174,Villa in Scarborough · ★4.93 · 1 bedroom · 1.5 shared baths,63867403,Nicky,STIRLING,-31.89909,115.77097,Private room in villa,Private room,1,,,3,290,107,4.93,1.3
11959063,Villa in Scarborough · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,63867403,Nicky,STIRLING,-31.89802,115.77003,Private room in villa,Private room,1,,1.0,3,313,108,4.91,1.23
11268476,Home in Cable Beach · ★4.60 · 1 bedroom · 1 bed · 1 private bath,54814505,Dean,BROOME,-17.95055,122.21478,Private room in home,Private room,2,,1.0,2,0,5,4.6,0.06
11283737,Townhouse in East Fremantle · ★4.86 · 3 bedrooms · 4 beds · 2 baths,7771970,Ben,MELVILLE,-32.03165,115.77757,Entire townhouse,Entire home/apt,7,3.0,4.0,4,266,66,4.86,0.77
11972328,Serviced apartment in Broadwater · ★4.55 · 3 bedrooms · 6 beds · 2 baths,63967666,Gavin,BUSSELTON,-33.65908,115.27992,Entire serviced apartment,Entire home/apt,8,3.0,6.0,2,316,44,4.55,0.63
11975330,Home in Exmouth · ★4.83 · 4 bedrooms · 6 beds · 2.5 baths,11168796,Helen,EXMOUTH,-21.95473,114.13785,Entire home,Entire home/apt,8,4.0,6.0,3,261,29,4.83,0.34
12212807,Bungalow in Margaret River · ★4.97 · 1 bedroom · 1 bed · 1 bath,256188708,Claudia,AUGUSTA-MARGARET RIVER,-33.91299,115.03276,Entire bungalow,Entire home/apt,3,1.0,1.0,2,221,29,4.97,0.34
12213585,Home in Exmouth · ★4.80 · 4 bedrooms · 5 beds · 2 baths,11168796,Helen,EXMOUTH,-21.93517,114.12355,Entire home,Entire home/apt,8,4.0,5.0,3,242,25,4.8,0.33
11289387,Home in South Perth · ★4.93 · 12 bedrooms · 3 beds · 1 bath,7519824,Chris,SOUTH PERTH,-31.98176,115.87419,Entire home,Entire home/apt,8,12.0,3.0,2,179,14,4.93,0.16
12213641,Home in Exmouth · ★4.71 · 4 bedrooms · 6 beds · 2 baths,11168796,Helen,EXMOUTH,-21.92425,114.119843,Entire home,Entire home/apt,8,4.0,6.0,3,246,38,4.71,0.48
12213686,Home in Exmouth · ★4.88 · 3 bedrooms · 4 beds · 2 baths,11168796,Helen,EXMOUTH,-21.933544,114.12218158532,Entire home,Entire home/apt,8,3.0,4.0,3,215,25,4.88,0.32
12011309,Rental unit in Northbridge · ★4.60 · 1 bedroom · 1 bed · 1 bath,64250756,Attika,PERTH,-31.94542,115.85717,Entire rental unit,Entire home/apt,3,1.0,1.0,2,360,59,4.6,0.72
12012142,Home in Halls Head · ★4.89 · 4 bedrooms · 5 beds · 2.5 baths,28489436,Stephen,MANDURAH,-32.54984,115.68495,Entire home,Entire home/apt,9,4.0,5.0,4,89,44,4.89,0.54
12012747,Home in Willetton · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,48820803,Vinnie,CANNING,-32.04353,115.87919,Private room in home,Private room,1,,1.0,2,20,6,4.6,0.07
12216812,Rental unit in Ardross · ★4.89 · 1 bedroom · 1 bed · 1 bath,21517986,Rachel,MELVILLE,-32.02313,115.83608,Entire rental unit,Entire home/apt,2,1.0,1.0,2,160,92,4.89,1.2
11302672,Home in Busselton · ★4.76 · 6 bedrooms · 9 beds · 3 baths,59079939,Rachel,BUSSELTON,-33.65779,115.2606,Entire home,Entire home/apt,10,6.0,9.0,2,282,90,4.76,1.04
12046424,Rental unit in Albany · ★4.88 · 3 bedrooms · 4 beds · 3 baths,45899379,Caroline,ALBANY,-35.02161,117.9144,Entire rental unit,Entire home/apt,6,3.0,4.0,1,57,84,4.88,0.96
12046962,Boutique hotel in Bandy Creek · ★4.89 · 1 bedroom · 1 bed · 1 private bath,21577811,Fiona,ESPERANCE,-33.8262,121.92834,Room in boutique hotel,Hotel room,2,1.0,1.0,2,132,88,4.89,1.08
12047240,Bungalow in Bandy Creek · ★4.98 · 2 bedrooms · 2 beds · 1 bath,21577811,Fiona,ESPERANCE,-33.82598,121.92982,Entire bungalow,Entire home/apt,2,2.0,2.0,2,4,40,4.98,0.5
12217065,Cottage in Margaret River · ★4.96 · 1 bedroom · 1 bed · 1 bath,65714739,Petra,AUGUSTA-MARGARET RIVER,-33.94371,115.01642,Entire cottage,Entire home/apt,2,1.0,1.0,2,42,131,4.96,1.49
12235428,Home in Hilton · ★4.46 · 4 bedrooms · 7 beds · 2 baths,65843907,Natalie,FREMANTLE,-32.07023,115.78559,Entire home,Entire home/apt,10,4.0,7.0,3,195,32,4.46,0.38
11310627,Home in West Busselton · ★4.70 · 3 bedrooms · 6 beds · 2 baths,15360130,Davinia,BUSSELTON,-33.65026,115.3328,Entire home,Entire home/apt,6,3.0,6.0,2,334,148,4.7,1.69
12252442,Home in Scarborough · ★4.93 · 3 bedrooms · 5 beds · 2 baths,1332056,Della,STIRLING,-31.8915,115.76127,Entire home,Entire home/apt,7,3.0,5.0,4,224,72,4.93,0.83
12056538,Home in Cottesloe · ★4.86 · 3 bedrooms · 4 beds · 2.5 baths,34264201,Matt And Carly,PEPPERMINT GROVE,-31.99379,115.76591,Entire home,Entire home/apt,6,3.0,4.0,3,130,152,4.86,1.75
12254445,Guesthouse in Eagle Bay · ★4.85 · 1 bedroom · 1 bed · 1 bath,34983497,South West Holiday Properties,BUSSELTON,-33.56427,115.06188,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,333,211,4.85,2.46
11312611,Earthen home in Prevelly · ★4.92 · 3 bedrooms · 2 beds · 1 bath,1583481,Jodie,AUGUSTA-MARGARET RIVER,-33.98592,114.99551,Earthen home,Entire home/apt,6,3.0,2.0,2,0,132,4.92,2.03
12254987,Townhouse in North Fremantle · ★4.89 · 1 bedroom · 1 bed · 1 bath,23756231,Martin,FREMANTLE,-32.0299,115.75639,Entire townhouse,Entire home/apt,2,1.0,1.0,3,49,57,4.89,0.68
12255037,Home in Yallingup · ★4.73 · 3 bedrooms · 7 beds · 3 baths,34983497,South West Holiday Properties,BUSSELTON,-33.64642,115.03043,Entire home,Entire home/apt,8,3.0,7.0,3,311,30,4.73,0.38
12057322,Home in Gnarabup · ★4.91 · 3 bedrooms · 3 beds · 2 baths,301329508,Polina,AUGUSTA-MARGARET RIVER,-33.99428,114.99738,Entire home,Entire home/apt,6,3.0,3.0,2,205,105,4.91,1.28
12059031,Rental unit in Leederville · ★4.80 · 1 bedroom · 1 bed · 1 bath,28274853,Henry And Benjamin,VINCENT,-31.93597,115.83902,Entire rental unit,Entire home/apt,3,1.0,1.0,90,168,184,4.8,2.1
12075712,Home in Dunsborough · ★4.88 · 4 bedrooms · 7 beds · 3 baths,20958156,Michelle,BUSSELTON,-33.6095,115.10579,Entire home,Entire home/apt,10,4.0,7.0,2,147,57,4.88,0.65
12259385,Rental unit in Broadwater · ★4.88 · 4 bedrooms · 5 beds · 3.5 baths,15360130,Davinia,BUSSELTON,-33.65795,115.27834,Entire rental unit,Entire home/apt,8,4.0,5.0,2,224,119,4.88,1.37
11327447,Guest suite in Highgate · ★5.0 · 1 bedroom · 1 bed · 1 bath,55457212,Ken,VINCENT,-31.94086,115.87466,Entire guest suite,Entire home/apt,2,1.0,1.0,2,28,12,5.0,0.16
12276313,Home in Yallingup · ★4.92 · 3 bedrooms · 4 beds · 1 bath,34983497,South West Holiday Properties,BUSSELTON,-33.63926,115.03038,Entire home,Entire home/apt,6,3.0,4.0,5,236,96,4.92,1.13
12091061,Home in Margaret River · ★4.84 · 4 bedrooms · 4 beds · 2 baths,109757750,In-House Holidays Welcoming Team,AUGUSTA-MARGARET RIVER,-33.96456,115.05565,Entire home,Entire home/apt,6,4.0,4.0,2,312,218,4.84,2.54
12122872,Guesthouse in East Victoria Park · ★4.90 · 1 bedroom · 1 bed · 1 bath,65035754,Maria,VICTORIA PARK,-31.98973,115.90355,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,140,148,4.9,1.7
12312094,Townhouse in Fremantle · ★4.98 · 1 bedroom · 1 bed · 1 private bath,14657804,Glenn,FREMANTLE,-32.06228,115.75877,Private room in townhouse,Private room,2,,1.0,2,101,194,4.98,2.21
11328135,Guesthouse in Port Denison · ★4.65 · 3 bedrooms · 6 beds · 2.5 baths,47633756,Julie,IRWIN,-29.26788,114.9244,Entire guesthouse,Entire home/apt,7,3.0,6.0,2,66,66,4.65,0.76
12313879,Home in Yanchep · ★4.57 · 2 bedrooms · 1 bed · 1 shared bath,54299745,Jane,WANNEROO,-31.5506,115.62554,Private room in home,Private room,4,,1.0,1,267,46,4.57,0.54
12326677,Guest suite in Cottesloe · ★4.95 · 1 bedroom · 2 beds · 1 bath,14576034,Kay,COTTESLOE,-32.01243,115.75447,Entire guest suite,Entire home/apt,2,1.0,2.0,2,286,409,4.95,4.71
12327933,Home in Kardinya · ★4.86 · 2 bedrooms · 4 beds · 1 bath,66527623,Angie,MELVILLE,-32.07196,115.82434,Entire home,Entire home/apt,3,2.0,4.0,4,0,57,4.86,0.85
12796376,Loft in Fremantle · ★4.84 · 1 bedroom · 3 beds · 2 baths,8982357,Jessica,FREMANTLE,-32.0566,115.74506,Entire loft,Entire home/apt,5,1.0,3.0,2,55,350,4.84,4.07
12797159,Guest suite in Bunbury · ★4.76 · Studio · 2 beds · 1 bath,67429566,Nicole,BUNBURY,-33.3316,115.63585,Entire guest suite,Entire home/apt,4,,2.0,3,170,189,4.76,2.19
11329273,Rental unit in Sorrento · ★4.98 · 1 bedroom · 2 beds · 1 bath,11462886,Rod And Leonie,JOONDALUP,-31.82923,115.75144,Entire rental unit,Entire home/apt,2,1.0,2.0,5,180,93,4.98,1.72
12812527,Rental unit in Cable Beach · ★4.98 · 2 bedrooms · 2 beds · 2 baths,68482373,Phillip,BROOME,-17.93174,122.21474,Entire rental unit,Entire home/apt,4,2.0,2.0,6,260,101,4.98,1.18
11343299,Home in Mandurah · ★4.50 · 4 bedrooms · 9 beds · 2.5 baths,59381849,Jennifer,MANDURAH,-32.52018,115.726425,Entire home,Entire home/apt,13,4.0,9.0,2,313,8,4.5,0.38
12815334,Rental unit in Scarborough · ★4.33 · 2 bedrooms · 3 beds · 1 bath,69897863,Cara,STIRLING,-31.89093,115.75702,Entire rental unit,Entire home/apt,4,2.0,3.0,1,273,245,4.33,4.28
11344394,Home in East Victoria Park · ★4.79 · 1 bedroom · 1 shared bath,15760554,Charles,VICTORIA PARK,-31.99238,115.89825,Private room in home,Private room,1,,,1,352,63,4.79,0.75
11361884,Cottage in West Toodyay · ★4.90 · 2 bedrooms · 2 beds · 1 bath,34492180,Deborah,TOODYAY,-31.52606,116.41917,Entire cottage,Entire home/apt,3,2.0,2.0,1,309,292,4.9,3.43
12815363,Chalet in Kalbarri · ★4.85 · 2 bedrooms · 4 beds · 1 bath,69897924,Kit And Nikki,NORTHAMPTON,-27.70441,114.16855,Entire chalet,Entire home/apt,6,2.0,4.0,2,303,187,4.85,2.17
12335125,Townhouse in Beeliar · ★4.98 · 1 bedroom · 1 bed · 1 private bath,66578827,Lolita,COCKBURN,-32.1294,115.79229,Private room in townhouse,Private room,2,,1.0,1,329,64,4.98,0.73
12351305,Rental unit in Geraldton · ★4.45 · 3 bedrooms · 4 beds · 1 bath,66703091,Lyndon,GREATER GERALDTON,-28.79234,114.60691,Entire rental unit,Entire home/apt,6,3.0,4.0,1,277,146,4.45,1.67
11379236,Cottage in Esperance · ★4.91 · 3 bedrooms · 6 beds · 1 bath,26909736,Steve,ESPERANCE,-33.83416,121.91621,Entire cottage,Entire home/apt,6,3.0,6.0,2,116,173,4.91,2.56
12375631,Rental unit in Yokine · ★5.0 · 1 bedroom · 1 bed · 0 baths,5192681,Kurt,STIRLING,-31.8989,115.85716,Private room in rental unit,Private room,2,,1.0,3,16,13,5.0,0.16
12390012,Villa in Shoalwater · ★4.94 · 2 bedrooms · 2 beds · 1 bath,66989008,Ian,ROCKINGHAM,-32.28766,115.70632,Entire villa,Entire home/apt,4,2.0,2.0,1,303,70,4.94,0.8
12834495,Condo in Scarborough · ★5.0 · 3 bedrooms · 3 beds · 2 baths,70060126,Peter & Judy,STIRLING,-31.90119,115.75855,Entire condo,Entire home/apt,6,3.0,3.0,3,145,7,5.0,0.08
12880899,Home in Scarborough · ★4.91 · 2 bedrooms · 3 beds · 1.5 baths,31879564,Sean,STIRLING,-31.88959,115.7676,Entire home,Entire home/apt,5,2.0,3.0,4,345,78,4.91,0.98
11380861,Cottage in Margaret River · ★4.98 · 1 bedroom · 1 bed · 1 bath,59680498,Jojo,AUGUSTA-MARGARET RIVER,-33.95357,115.07763,Entire cottage,Entire home/apt,2,1.0,1.0,4,84,376,4.98,4.22
12882280,Rental unit in Dunsborough · ★4.93 · 4 bedrooms · 5 beds · 3.5 baths,6219240,Regency Beach,BUSSELTON,-33.60839,115.1045,Entire rental unit,Entire home/apt,8,4.0,5.0,2,68,14,4.93,0.17
12886937,Home in Thornlie · 1 bedroom · 1 bed · 1 shared bath,59667389,Steven,GOSNELLS,-32.06813,115.94818,Private room in home,Private room,1,,1.0,7,173,0,,
12936306,Home in Ocean Reef · ★4.60 · 4 bedrooms · 5 beds · 2 baths,23758171,Prafula,JOONDALUP,-31.75983,115.73337,Entire home,Entire home/apt,6,4.0,5.0,7,209,30,4.6,0.42
12391819,Rental unit in Mount Claremont · ★4.65 · 3 bedrooms · 4 beds · 1 bath,34477031,Executive Escapes,NEDLANDS,-31.96614,115.77439,Entire rental unit,Entire home/apt,6,3.0,4.0,1,270,17,4.65,0.2
12393355,Cottage in Safety Bay · ★4.74 · 3 bedrooms · 5 beds · 1 bath,67009405,Laurelle,ROCKINGHAM,-32.30397,115.72116,Entire cottage,Entire home/apt,6,3.0,5.0,3,144,43,4.74,0.52
11383268,Rental unit in Castletown · ★4.94 · 1 bedroom · 2 beds · 1 bath,26909736,Steve,ESPERANCE,-33.83299,121.91647,Entire rental unit,Entire home/apt,3,1.0,2.0,2,235,340,4.94,3.83
12939366,Guesthouse in Hovea · ★4.95 · 1 bedroom · 1 bed · 1 private bath,3992964,Quenda Guesthouse,MUNDARING,-31.87827,116.12755,Private room in guesthouse,Private room,2,1.0,1.0,2,118,104,4.95,1.43
12953909,Rental unit in Subiaco · ★4.59 · 2 bedrooms · 3 beds · 1 bath,33703497,Annabelle,SUBIACO,-31.94663,115.83093,Entire rental unit,Entire home/apt,4,2.0,3.0,7,196,17,4.59,0.2
12988837,Home in Peppermint Grove Beach · ★4.51 · 4 bedrooms · 8 beds · 2 baths,70915051,Ray,CAPEL,-33.52021,115.51115,Entire home,Entire home/apt,10,4.0,8.0,1,343,45,4.51,0.55
12420093,Home in Falcon · ★5.0 · 4 bedrooms · 7 beds · 3 baths,67175806,The Well Connected Traveller,MANDURAH,-32.57982,115.65158,Entire home,Entire home/apt,8,4.0,7.0,3,365,9,5.0,0.12
11404939,Guest suite in Pemberton · ★4.93 · 1 bedroom · 1 bed · 1 private bath,44843350,Geri,MANJIMUP,-34.44184,116.04012,Private room in guest suite,Private room,2,,1.0,2,321,202,4.93,2.29
12420859,Guest suite in Prevelly · ★4.90 · Studio · 1 bed · 1 bath,65354772,Andrei,AUGUSTA-MARGARET RIVER,-33.98477,114.99245,Entire guest suite,Entire home/apt,2,,1.0,2,263,513,4.9,5.87
13006097,Rental unit in Fremantle · ★4.28 · 1 bedroom · 1 bed · 1 bath,8766429,SmartStayWA,FREMANTLE,-32.05305,115.7481,Entire rental unit,Entire home/apt,2,1.0,1.0,3,319,58,4.28,0.68
13007432,Rental unit in Broadwater · ★4.83 · 3 bedrooms · 5 beds · 2 baths,20588642,Viv & Barry,BUSSELTON,-33.65775,115.26969,Entire rental unit,Entire home/apt,8,3.0,5.0,3,72,24,4.83,0.28
11405197,Rental unit in Perth · 2 bedrooms · 3 beds · 1.5 baths,3445475,Lee-Mark,PERTH,-31.95429,115.85187,Entire rental unit,Entire home/apt,3,2.0,3.0,33,180,0,,
13007983,Home in Bennett Springs · ★New · 1 bedroom · 1 bed · 1 shared bath,71755246,My,SWAN,-31.85869,115.93049,Private room in home,Private room,2,,1.0,30,236,1,5.0,1.0
12435739,Home in Northam · ★4.79 · 3 bedrooms · 4 beds · 1 bath,28727253,Kevin,NORTHAM,-31.64893,116.671,Entire home,Entire home/apt,8,3.0,4.0,1,233,177,4.79,2.05
11421936,Rental unit in Scarborough · ★4.54 · 2 bedrooms · 2 beds · 1 bath,26764816,Candice,STIRLING,-31.89723,115.75747,Entire rental unit,Entire home/apt,4,2.0,2.0,2,244,232,4.54,2.61
12460303,Rental unit in Crawley · ★4.90 · 2 bedrooms · 2 beds · 1 bath,67421789,Rod,SUBIACO,-31.97895,115.81461,Entire rental unit,Entire home/apt,3,2.0,2.0,4,126,41,4.9,0.48
13008317,Cottage in Shadforth · ★4.79 · 5 bedrooms · 9 beds · 1.5 baths,71760494,Robert Jan,DENMARK,-34.95326,117.24762,Entire cottage,Entire home/apt,10,5.0,9.0,2,239,239,4.79,2.8
11422596,Home in Quindalup · ★4.90 · 4 bedrooms · 6 beds · 2 baths,34983497,South West Holiday Properties,BUSSELTON,-33.63461,115.15505,Entire home,Entire home/apt,8,4.0,6.0,2,273,96,4.9,1.09
13020197,Home in Port Denison · ★4.86 · 4 bedrooms · 4 beds · 2.5 baths,71881850,John,IRWIN,-29.26516,114.92943,Entire home,Entire home/apt,7,4.0,4.0,3,313,57,4.86,0.69
12475349,Rental unit in Victoria Park · ★4.52 · 2 bedrooms · 2 beds · 1 bath,53932629,Sandy,VICTORIA PARK,-31.97853,115.89233,Entire rental unit,Entire home/apt,4,2.0,2.0,3,34,102,4.52,1.17
11423825,Cottage in Pemberton · ★4.98 · 3 bedrooms · 5 beds · 2 baths,60009456,Jan,MANJIMUP,-34.48439,116.05089,Entire cottage,Entire home/apt,8,3.0,5.0,3,253,82,4.98,0.93
12481403,Rental unit in Nedlands · ★4.82 · 1 bedroom · 2 beds · 1 bath,67028786,Chris,NEDLANDS,-31.96446,115.81194,Entire rental unit,Entire home/apt,4,1.0,2.0,2,308,166,4.82,1.91
12497760,Home in Mindarie · ★4.89 · 3 bedrooms · 3 beds · 2 baths,35191486,Sandy,WANNEROO,-31.69043,115.70401,Entire home,Entire home/apt,6,3.0,3.0,2,365,28,4.89,0.43
12572601,Rental unit in Subiaco · ★4.83 · 3 bedrooms · 5 beds · 2 baths,33703497,Annabelle,SUBIACO,-31.94663,115.83093,Entire rental unit,Entire home/apt,6,3.0,5.0,7,198,23,4.83,0.27
13038265,Rental unit in Walpole · ★4.54 · 2 bedrooms · 2 beds · 1 bath,392902136,Charlene,MANJIMUP,-34.97713,116.73006,Entire rental unit,Entire home/apt,3,2.0,2.0,1,342,110,4.54,1.28
13045159,Home in Boulder · ★4.37 · 2 bedrooms · 2 beds · 1 bath,24250575,Roger,KALGOORLIE-BOULDER,-30.78385,121.49041,Entire home,Entire home/apt,4,2.0,2.0,1,62,65,4.37,0.83
13045733,Rental unit in Boulder · ★4.39 · 2 bedrooms · 2 beds · 1 bath,24250575,Roger,KALGOORLIE-BOULDER,-30.7848,121.4903,Entire rental unit,Entire home/apt,4,2.0,2.0,1,62,75,4.39,0.97
13046162,Bed and breakfast in Nannup · ★4.95 · 1 bedroom · 1 bed · 1 private bath,23320658,Louise,NANNUP,-33.97766,115.76608,Private room in bed and breakfast,Private room,2,,1.0,1,251,21,4.95,0.26
13047987,Home in Dunsborough · ★4.85 · 4 bedrooms · 7 beds · 3 baths,6219240,Regency Beach,BUSSELTON,-33.60804,115.10409,Entire home,Entire home/apt,10,4.0,7.0,2,62,27,4.85,0.32
11424266,Home in Quindalup · ★4.87 · 2 bedrooms · 2 beds · 1 bath,60012486,Norma,BUSSELTON,-33.63491,115.14652,Entire home,Entire home/apt,4,2.0,2.0,3,1,433,4.87,4.89
13067793,Home in Yallingup · ★4.99 · 3 bedrooms · 3 beds · 3.5 baths,72427007,Belinda,BUSSELTON,-33.63927,115.02613,Entire home,Entire home/apt,6,3.0,3.0,2,78,95,4.99,1.11
13071052,Home in Denmark · ★4.64 · 3 bedrooms · 3 beds · 1.5 baths,17632824,Anita,DENMARK,-34.98536,117.34548,Entire home,Entire home/apt,6,3.0,3.0,1,239,274,4.64,3.18
13071192,Condo in South Perth · ★4.41 · 2 bedrooms · 3 beds · 1 bath,52358187,Wiifd,SOUTH PERTH,-31.97785,115.86236,Entire condo,Entire home/apt,2,2.0,3.0,3,0,43,4.41,0.5
